fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
264,1681852394524583413,1681852395116606413,592,745.8082625210084,417.2937289915967,15.854460470588235,8.027724546218487
265,1681852395152947413,1681852395660569413,507,812.0128402083334,426.26085749999993,20.874857447916668,7.2978865510416675
266,1681852395976581413,1681852398000600413,2024,615.1880428030304,440.0536223484848,5.895225365151515,6.389395314646464
267,1681852398028588413,1681852400076596413,2048,628.2616653827159,387.8374024938272,6.941169971851853,10.325367207407409
268,1681852400104586413,1681852413200587413,13096,624.7162485631741,400.45424488443757,6.652547914676425,9.375727762865948
269,1681852413236614413,1681852413532591413,295,606.520726779661,460.1796,5.2279920220339,4.872247076271186
270,1681852413560605413,1681852413836603413,275,611.0185737037036,501.95920222222225,5.555881833333334,1.7186826925925927
271,1681852413904598413,1681852414124603413,220,623.5580827272728,620.7038420454545,6.532513338636363,-7.225742831818181
272,1681852414164597413,1681852418112586413,3947,659.0080950763358,615.5951662977099,9.21928273956743,-6.826070530152671
273,1681852418292673413,1681852418700598413,407,617.5375967901235,369.02997864197533,6.138148592592593,11.751462111111111
274,1681852418724604413,1681852419216584413,491,658.4747320212766,360.60323000000005,9.292188296808511,12.36006464893617
275,1681852419244587413,1681852420992672413,1748,610.4795816618912,391.0169271060172,5.575357826647565,10.095065043553008
276,1681852421016602413,1681852421472608413,456,598.8777105681819,405.94843238636366,4.677589836363636,8.970070801136364
277,1681852421624605413,1681852421852567413,227,565.4128923913042,494.6206713043478,2.1083438673913046,2.2749220695652177
278,1681852421912568413,1681852422004606413,92,564.388630625,520.6797768749999,2.02948515,0.3060902226875
279,1681852422028624413,1681852422168566413,139,602.445148888889,520.4740051851853,4.905832192592594,0.3219083173703704
280,1681852422224752413,1681852422320565413,95,530.3666577777777,484.9005755555555,-0.5428265932444445,3.009125838888889
281,1681852422352597413,1681852422432602413,80,519.8312456250001,439.887955625,-1.343752999375,6.411475193749999
282,1681852422704658413,1681852422808603413,103,623.3133614285715,386.4693919047619,6.560698523809525,10.43206711904762
283,1681852422924594413,1681852423076773413,152,648.4008516129032,614.8871635483871,8.413722409677419,-6.777313706451613
284,1681852423096714413,1681852423696578413,599,659.3537778991597,628.7981396638655,9.258235281512603,-7.815707427731093
285,1681852423856625413,1681852425332728413,1476,618.0902210416666,396.5579263888889,6.150881273263889,9.67260624826389
286,1681852425412577413,1681852426512574413,1099,640.7822384931507,533.7741534246576,7.8043144940639255,-0.6786857654905479
287,1681852426576612413,1681852426756625413,180,575.1983836111111,447.4615041666667,2.857790444444445,5.837289002777777
288,1681852426836583413,1681852428752582413,1915,660.4589555526316,431.2749594736842,9.342577196315789,7.034916754473684
289,1681852428820575413,1681852429444577413,624,658.503237804878,419.38336715447156,9.208292536585365,7.931662027642277
290,1681852429544589413,1681852429636603413,92,573.615647,557.0961854999999,2.7279302650000004,-2.4427791249999995
291,1681852429668670413,1681852429944578413,275,643.5640470370371,536.1639142592593,8.013768074074074,-0.8586578052592593
292,1681852429972620413,1681852430744589413,771,671.0999387919463,462.8725681879195,10.121674463087249,4.652384403355705
293,1681852430776583413,1681852430976660413,200,696.7679430000001,378.99395775000005,12.1930310375,10.942474825
294,1681852431184585413,1681852431344584413,159,689.4072825000001,423.12421624999996,11.5531024375,7.6329665375
295,1681852431384613413,1681852432252585413,867,692.1472804651162,517.0455851162791,11.68611913372093,0.5813860695720932
296,1681852432448587413,1681852433344577413,895,658.7367963157894,546.8732057894737,9.164697446783626,-1.6608965964122806
297,1681852433520652413,1681852434172588413,651,657.0202296031745,396.9052057142857,9.125029446031744,9.625138744444445
298,1681852434200596413,1681852437520678413,3320,653.2329965957447,391.90957373860186,8.840639137082068,10.00478610881459
299,1681852437564574413,1681852438236600413,672,653.3163626119403,491.76968358208956,8.757407,2.4831150216417908
300,1681852438296582413,1681852438356595413,60,552.650347,602.588631,1.1454909469999996,-5.8761582599999995
301,1681852438436659413,1681852440028604413,1591,641.7677478095238,523.3941353650794,7.880549352380951,0.10329541885714283
302,1681852440120601413,1681852440276600413,155,774.0647462068966,573.7736706896551,17.895415896551725,-3.630577682758621
303,1681852440296650413,1681852440864611413,567,797.552709380531,579.308447522124,19.67918807079646,-4.025411656637168
304,1681852441032565413,1681852442704580413,1672,632.6724332424242,474.6306880000001,7.202619347272727,3.7774105566666667
305,1681852443176712413,1681852445309095413,2132,769.3341171021378,503.09499912114023,17.530396205463184,1.624022527411639
306,1681852445332587413,1681852450292602413,4960,727.7790641734694,473.1327669489796,14.417220555612245,3.855359254505102
307,1681852450336680413,1681852451308580413,971,814.7061246391752,420.2280390721649,21.102199304123715,7.741472088659793
308,1681852451332574413,1681852451728604413,396,817.771454868421,418.2274969736843,21.335586526315794,7.8857343368421065
309,1681852451804567413,1681852453044589413,1240,724.3294795416666,477.7682400833333,14.138822524999998,3.520262547083333
310,1681852453208600413,1681852459732589413,6523,809.3786455658915,449.5514654573643,20.632190103100776,5.5718182006201555
311,1681852459956602413,1681852461416584413,1459,857.9897264808362,529.5264449128921,24.23966132752613,-0.3197470539066203
312,1681852461448585413,1681852461737109413,288,826.2828201851851,555.0370790740741,21.833885240740734,-2.21590562962963
313,1681852461772607413,1681852462516592413,743,936.7035735810811,568.3841697972972,30.24342362837838,-3.11424235472973
314,1681852462556587413,1681852465204594413,2648,873.4882766412214,585.0428008778625,25.45278052480916,-4.381721741984733
315,1681852465356579413,1681852475624602413,10268,788.200320837878,508.6223082548339,18.96342239266237,1.2151542280512544
316,1681852475760585413,1681852475888582413,127,546.360092,509.65794679999993,0.6668701224,1.138601206
317,1681852476052584413,1681852476148632413,96,641.0049566666667,397.0445138888889,7.90002978888889,9.624754833333334
318,1681852476172650413,1681852476288610413,115,663.8513955000001,360.89042099999995,9.7054914,12.334412125000002
319,1681852476312636413,1681852476424581413,111,664.3149490476189,327.7546190476191,9.814626285714285,14.830589238095238
320,1681852476468799413,1681852476784595413,315,674.3533811666667,419.04913400000004,10.413870241666666,7.947738040000001
321,1681852476884585413,1681852477444632413,560,666.3468420535713,489.8701516071429,9.744030625892858,2.623661880357143
322,1681852477477024413,1681852477572618413,95,660.5701683333333,489.4538888888889,9.307203027777778,2.6564406388888893
323,1681852477612645413,1681852477684611413,71,727.0253621428573,480.53898357142856,14.340255071428572,3.311737514285714
324,1681852477717249413,1681852477784578413,67,692.684063076923,445.21878000000004,11.774242500000001,5.971293038461538
325,1681852477812591413,1681852478096715413,284,670.7114543636366,418.64477709090903,10.136860145454545,7.980863632727275
326,1681852478128593413,1681852479852587413,1723,637.7125159292035,410.46316542772865,7.63378611297935,8.613822158112095
327,1681852479908580413,1681852480388579413,479,616.8961439361701,483.2273361702128,6.005302331914894,3.131435772340425
328,1681852480436837413,1681852481056972413,620,621.4011749180328,426.79243795081965,6.37726483852459,7.388766716393443
329,1681852481132594413,1681852481544577413,411,666.3531903614459,568.9778493975903,9.744118939759037,-3.321189895180723
330,1681852481592579413,1681852482248567413,655,649.2053218604651,585.1312058139533,8.462278071317831,-4.54034091751938
331,1681852482296593413,1681852482572617413,276,606.4136786792452,614.6895901886793,5.22733076226415,-6.779056064150944
332,1681852482612587413,1681852482912578413,299,679.0755933333334,576.1449653333333,10.710135941666666,-3.8549550566666673
333,1681852482932582413,1681852483017663413,85,647.1050133333334,592.7236326666667,8.299718539999999,-5.1123412733333335
334,1681852483124588413,1681852483304585413,179,725.7092030555556,525.8282930555555,14.222350847222222,-0.07574545911111112
335,1681852483388570413,1681852483560564413,171,724.7834611764706,569.8691855882353,14.164575647058825,-3.365127735294118
336,1681852483584597413,1681852483944573413,359,701.847874,511.6829862857144,12.420078757142857,0.98295502
337,1681852484236686413,1681852484388602413,151,739.6344558620691,552.1905020689654,15.277673396551723,-2.040125118965517
338,1681852484416631413,1681852484628580413,211,763.80997,523.9066155813953,17.10108493023256,0.0726408043255814
339,1681852484664596413,1681852485036602413,372,722.1709249315068,580.9220830136986,13.974110034246575,-4.193163763013699
340,1681852485084599413,1681852485936594413,851,770.0810107878789,493.04685175757567,17.58895538181818,2.3672280615757577
341,1681852485980598413,1681852486624580413,643,805.292967890625,582.49973671875,20.269784828125,-4.25534582265625
342,1681852486664589413,1681852487240613413,576,739.5285369298244,498.86696122807024,15.273585618421052,1.9390591340350876
343,1681852487292600413,1681852488604568413,1311,725.7896885882353,583.2291669019609,14.250148298039216,-4.363275945882353
344,1681852488984578413,1681852502444581413,13460,627.6941687184319,416.1998100980022,6.865827151225028,8.185809834300793
345,1681852502472581413,1681852505120573413,2647,609.5044830000002,514.52391575,5.440023927692307,0.7708242536913461
346,1681852505180616413,1681852507424585413,2243,618.0061050456621,386.78027664383563,6.153957761187215,10.411105130136988
347,1681852507484590413,1681852507548663413,64,639.4137376923077,458.17251461538456,7.722050115384615,5.016691746153847
348,1681852507576731413,1681852510748584413,3171,611.287491626409,403.13343998389695,5.625097077133655,9.179345774557165
349,1681852510808607413,1681852511612590413,803,648.5137845806452,552.4089723225807,8.389908341935483,-2.0800324792258063
350,1681852511664573413,1681852512032675413,368,649.3088906849314,603.3303273972602,8.474590679452055,-5.908214764383562
351,1681852512076625413,1681852512640577413,563,653.9850714159293,639.8481329203541,8.862916259292035,-8.648205740707965
352,1681852512816588413,1681852514764576413,1947,631.1262525459317,428.16170272965877,7.116194459580053,7.28199312808399
353,1681852514824693413,1681852516252789413,1428,632.9137239716312,517.820540070922,7.208764104255319,0.5224106946749999
354,1681852516332563413,1681852517088605413,756,643.8273650344828,672.7278433793103,8.128883517931033,-11.123296937931034
355,1681852517252662413,1681852520132586413,2879,633.6862336445242,390.82036070017955,7.347975013824057,10.09837161131059
356,1681852520180579413,1681852534892602413,14712,640.1351840899581,441.98534886331936,7.791901770327755,6.237000664679219
