section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067147912858,504.307,649.054,0.0,108,,-2.73546018430375,-9.341775256907168
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067155875858,505.17,650.23,0.0,108,,-2.6702250855638403,-9.43050310761673
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067159957858,507.939,650.483,0.0,108,,-2.459641379496118,-9.450214922935473
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067163840858,515.838,645.192,0.0,108,,-1.8573631236427444,-9.053070284671678
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067167923858,511.145,645.756,0.0,108,,-2.2143387405198625,-9.094782867472802
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067175919858,511.689,644.584,0.0,108,,-2.1726714715648194,-9.006546262399812
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067179928858,511.128,646.568,0.0,108,,-2.2158280548797906,-9.155962828270981
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067183916858,509.992,646.862,0.0,108,,-2.302298565204591,-9.177832467090566
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067188024858,510.314,647.255,0.0,108,,-2.277923251318975,-9.207497204743005
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067196010858,508.81,654.241,0.0,108,,-2.39451066773855,-9.733449898432747
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067200009858,502.512,654.289,0.0,108,,-2.873990710744675,-9.735587012117644
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067204011858,501.941,656.268,0.0,108,,-2.9182863755938273,-9.884452478525231
