Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,eye_blinks,not_visible,timestamps,,,,,,,
09:56.3,596.29,09:56.5,596.47,00:00.2,0.18, [a148],,,,,,,,,
09:57.0,596.97,09:57.1,597.05,00:00.1,0.08, [a149],,,,,,,,,
09:57.4,597.4,09:57.5,597.53,00:00.1,0.13, [a150],,,,,,,,,
09:58.0,598.01,09:58.1,598.15,00:00.1,0.14, [a151],,,,,,,,,
09:58.6,598.6,09:58.7,598.72,00:00.1,0.12, [a152],,,,,,,,,
10:00.0,600.02,10:00.1,600.12,00:00.1,0.1, [a153],,,,,,,,,
10:00.6,600.62,10:00.7,600.73,00:00.1,0.11,,,parent speech end [a4],,,,,,,
11:20.5,680.49,11:20.6,680.58,00:00.1,0.09,,,child prep start [a5],,,,,,,
11:24.0,684.04,11:24.2,684.21,00:00.2,0.17, [a154],,,,,,,,,
11:30.6,690.55,11:30.8,690.83,00:00.3,0.28, [a155],,,,,,,,,
11:31.1,691.12,11:31.3,691.29,00:00.2,0.17, [a156],,,,,,,,,
11:31.4,691.42,11:31.6,691.61,00:00.2,0.19, [a157],,,,,,,,,
11:31.8,691.81,11:32.0,692,00:00.2,0.19, [a158],,,,,,,,,
11:32.2,692.19,11:32.3,692.31,00:00.1,0.12, [a159],,,,,,,,,
11:34.0,694.04,11:34.3,694.33,00:00.3,0.29, [a160],,,,,,,,,
11:34.6,694.61,11:34.7,694.73,00:00.1,0.12, [a161],,,,,,,,,
11:39.4,699.42,11:39.5,699.5,00:00.1,0.08, [a162],,,,,,,,,
11:39.7,699.66,11:39.8,699.8,00:00.1,0.14, [a163],,,,,,,,,
11:46.2,706.25,11:46.4,706.38,00:00.1,0.13, [a164],,,,,,,,,
11:47.5,707.55,11:47.7,707.7,00:00.2,0.15, [a165],,,,,,,,,
11:52.1,712.13,11:52.4,712.36,00:00.2,0.23, [a166],,,,,,,,,
11:52.6,712.59,11:52.9,712.95,00:00.4,0.36, [a167],,,,,,,,,
11:53.1,713.12,11:53.3,713.29,00:00.2,0.17, [a168],,,,,,,,,
11:56.7,716.71,11:56.9,716.9,00:00.2,0.19, [a169],,,,,,,,,
11:57.1,717.05,11:57.2,717.22,00:00.2,0.17, [a170],,,,,,,,,
11:58.1,718.11,11:58.3,718.27,00:00.2,0.16, [a171],,,,,,,,,
12:01.1,721.08,12:01.2,721.17,00:00.1,0.09, [a172],,,,,,,,,
12:05.6,725.6,12:05.8,725.77,00:00.2,0.17, [a173],,,,,,,,,
12:13.4,733.4,12:13.6,733.56,00:00.2,0.16, [a174],,,,,,,,,
12:22.1,742.1,12:22.2,742.18,00:00.1,0.08, [a175],,,,,,,,,
12:22.5,742.48,12:22.6,742.59,00:00.1,0.11, [a176],,,,,,,,,
12:23.0,742.98,12:23.0,743.02,00:00.0,0.04, [a177],,,,,,,,,
12:23.3,743.29,12:23.4,743.38,00:00.1,0.09, [a178],,,,,,,,,
12:24.0,743.95,12:24.1,744.08,00:00.1,0.13, [a179],,,,,,,,,
12:25.2,745.21,12:25.3,745.31,00:00.1,0.1, [a180],,,,,,,,,
12:31.3,751.31,12:31.5,751.53,00:00.2,0.22, [a181],,,,,,,,,
12:31.6,751.57,12:31.7,751.75,00:00.2,0.18, [a182],,,,,,,,,
12:33.2,753.2,12:33.6,753.63,00:00.4,0.43, [a183],,,,,,,,,
12:34.0,754.01,12:34.3,754.27,00:00.3,0.26, [a184],,,,,,,,,
12:34.3,754.32,12:34.6,754.57,00:00.3,0.25, [a185],,,,,,,,,
12:34.8,754.77,12:34.9,754.87,00:00.1,0.1, [a186],,,,,,,,,
12:42.1,762.06,12:42.2,762.24,00:00.2,0.18, [a187],,,,,,,,,
12:42.4,762.37,12:42.5,762.53,00:00.2,0.16, [a188],,,,,,,,,
12:44.5,764.48,12:44.6,764.65,00:00.2,0.17, [a189],,,,,,,,,
12:45.0,765.03,12:45.6,765.58,00:00.6,0.55, [a190],,,,,,,,,
12:48.3,768.34,12:48.6,768.58,00:00.2,0.24, [a191],,,,,,,,,
12:55.8,775.84,12:56.1,776.05,00:00.2,0.21, [a192],,,,,,,,,
12:56.8,776.76,12:56.9,776.88,00:00.1,0.12, [a193],,,,,,,,,
12:58.2,778.19,12:58.3,778.3,00:00.1,0.11, [a194],,,,,,,,,
13:02.6,782.59,13:02.7,782.7,00:00.1,0.11, [a195],,,,,,,,,
13:03.7,783.68,13:03.8,783.79,00:00.1,0.11, [a196],,,,,,,,,
13:06.7,786.66,13:06.9,786.86,00:00.2,0.2, [a197],,,,,,,,,
13:07.1,787.13,13:07.3,787.3,00:00.2,0.17, [a198],,,,,,,,,
13:17.2,797.22,13:17.4,797.38,00:00.2,0.16, [a199],,,,,,,,,
13:19.5,799.52,13:19.6,799.63,00:00.1,0.11, [a200],,,,,,,,,
13:23.5,803.51,13:23.6,803.57,00:00.1,0.06, [a201],,,,,,,,,
13:23.7,803.72,13:23.8,803.8,00:00.1,0.08,,,child prep end [a6],,,,,,,
13:25.6,805.57,13:25.7,805.67,00:00.1,0.1,,,child speech start [a7],,,,,,,
13:26.6,806.62,13:27.1,807.09,00:00.5,0.47, [a202],,,,,,,,,
13:27.3,807.34,13:27.9,807.87,00:00.5,0.53, [a203],,,,,,,,,
13:28.2,808.17,13:28.4,808.39,00:00.2,0.22, [a204],,,,,,,,,
13:36.3,816.301,13:36.5,816.469,00:00.2,0.168, [a205],,,,,,,,,
13:40.9,820.924,13:41.2,821.166,00:00.2,0.242, [a206],,,,,,,,,
13:41.4,821.352,13:41.4,821.435,00:00.1,0.083, [a207],,,,,,,,,
13:41.6,821.628,13:41.7,821.71,00:00.1,0.082, [a208],,,,,,,,,
13:43.5,823.483,13:43.6,823.586,00:00.1,0.103, [a209],,,,,,,,,
13:44.2,824.166,13:44.3,824.276,00:00.1,0.11, [a210],,,,,,,,,
13:44.6,824.628,13:44.9,824.869,00:00.2,0.241, [a211],,,,,,,,,
13:45.7,825.738,13:45.8,825.841,00:00.1,0.103, [a212],,,,,,,,,
13:50.9,830.931,13:51.5,831.476,00:00.5,0.545, [a213],,,,,,,,,
13:51.7,831.71,13:52.1,832.083,00:00.4,0.373, [a214],,,,,,,,,
14:05.0,844.959,14:07.2,847.172,00:02.2,2.213, [a215],,,,,,,,,
14:07.5,847.517,14:07.6,847.621,00:00.1,0.104, [a216],,,,,,,,,
14:11.9,851.91,14:12.0,852.048,00:00.1,0.138, [a217],,,,,,,,,
14:16.2,856.221,14:16.3,856.304,00:00.1,0.083, [a218],,,,,,,,,
14:16.5,856.545,14:16.9,856.855,00:00.3,0.31, [a219],,,,,,,,,
14:26.1,866.131,14:26.8,866.779,00:00.6,0.648, [a220],,,,,,,,,
14:29.6,869.641,14:29.8,869.841,00:00.2,0.2, [a221],,,,,,,,,
14:34.7,874.717,14:35.7,875.683,00:01.0,0.966, [a222],,,,,,,,,
14:36.1,876.124,14:36.4,876.352,00:00.2,0.228, [a223],,,,,,,,,
14:37.7,877.697,14:38.0,877.972,00:00.3,0.275, [a224],,,,,,,,,
14:38.9,878.862,14:39.2,879.152,00:00.3,0.29, [a225],,,,,,,,,
14:39.5,879.524,14:40.1,880.076,00:00.6,0.552, [a226],,,,,,,,,
14:40.1,880.124,14:40.4,880.379,00:00.3,0.255, [a227],,,,,,,,,
14:55.8,895.793,14:56.0,895.986,00:00.2,0.193, [a228],,,,,,,,,
14:56.2,896.248,14:56.4,896.4,00:00.2,0.152, [a229],,,,,,,,,
15:02.4,902.441,15:02.6,902.635,00:00.2,0.194, [a230],,,,,,,,,
15:02.7,902.724,15:03.0,903.021,00:00.3,0.297, [a231],,,,,,,,,
15:07.3,907.262,15:07.6,907.572,00:00.3,0.31, [a232],,,,,,,,,
15:07.6,907.648,15:08.0,908.041,00:00.4,0.393, [a233],,,,,,,,,
15:08.1,908.104,15:08.3,908.331,00:00.2,0.227, [a234],,,,,,,,,
15:16.2,916.207,15:16.5,916.517,00:00.3,0.31, [a235],,,,,,,,,
15:18.8,918.766,15:18.9,918.945,00:00.2,0.179, [a236],,,,,,,,,
15:24.5,924.545,15:25.0,925.021,00:00.5,0.476, [a237],,,,,,,,,
15:29.5,929.524,15:29.7,929.724,00:00.2,0.2, [a238],,,,,,,,,
15:31.9,931.917,15:32.3,932.324,00:00.4,0.407, [a239],,,,,,,,,
15:38.5,938.517,15:38.8,938.766,00:00.2,0.249, [a240],,,,,,,,,
15:39.6,939.648,15:40.0,940,00:00.4,0.352, [a241],,,,,,,,,
15:40.6,940.6,15:40.9,940.904,00:00.3,0.304, [a242],,,,,,,,,
15:41.2,941.214,15:41.6,941.593,00:00.4,0.379, [a243],,,,,,,,,
15:50.7,950.724,15:50.9,950.938,00:00.2,0.214, [a244],,,,,,,,,
15:51.0,951.04,15:51.2,951.16,00:00.1,0.12,,,child speech end [a8],,,,,,,
